,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,ecaade2017_072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Varinlioglu, Guzden, Aslankan, Ali, Alankus, Gazihan and Mura, Gokhan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Raising Awareness for Digital Heritage through Serious Game - The Teos of Dionysos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Fioravanti, A, Cursi, S, Elahmar, S, Gargaro, S, Loffreda, G, Novembri, G, Trento, A (eds.), ShoCK! - Sharing Computational Knowledge! - Proceedings of the 35th eCAADe Conference - Volume 1, Sapienza University of Rome, Rome, Italy, 20-22 September 2017, pp. 647-654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"In this study, the serious game is conceptualized as a digital medium to convert archaeological knowledge into playable interactions via a case study in the ancient city of Teos. The Teos of Dionysos Game is a digital platform that allows players without specialist computer skills to explore the archaeological knowledge and experience an ancient urban setup. A mythological story about the God Dionysos has been verbally and visually transcribed and adapted for four distinctive settings of this ancient site. The familiar realm of an interactive space, navigated by intuitive behaviours in a game setting, conveys archaeological data, allowing players to build an empathic understanding of ancient architecture. Diverse stakeholders have already tested a mobile game prototype in a workshop, which explored whether those without a prior historical background can advance their existing knowledge through activities that aim at providing entertainment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,digital heritage; serious game; puzzle; mobile game; public awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,guzdenv@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (1,008,456 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
