,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,ecaade2021_159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Yazicioglu, Gülin and Gürsel Dino, Ipek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,From Streetscape to Data - Semantic segmentation for the prediction of outdoor thermal comfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Stojakovic, V and Tepavcevic, B (eds.), Towards a new, configurable architecture - Proceedings of the 39th eCAADe Conference - Volume 1, University of Novi Sad, Novi Sad, Serbia, 8-10 September 2021, pp. 555-562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"In recent years, the increasing pace of urbanization is expected to increase the temperatures in urban contexts and amplify the Urban Heat Island effect. This phenomenon has a negative impact on the urbanites' thermal comfort in outdoor spaces. Modeling and simulation-based approaches can precisely calculate outdoor thermal comfort; however, they are labor-intensive and high in computational cost. This difficulty might discourage decision-makers to consider outdoor thermal comfort conditions, which can affect their strategies at the beginning stage of design. This paper aims to propose a statistical model that can predict outdoor comfort using semantic segmentation of 2D street view images. Firstly, 78 panoramic street images of selected three streets in Istanbul are used to calculate the specific object classes that have an influence on outdoor temperature using semantic segmentation. Following, the streets' outdoor thermal comfort is calculated in Ladybug/Grasshopper. Lastly, two multi-variate regression models are built using the percentages of these object classes in each image and outdoor thermal comfort in given locations on the streets. Initial results show that the proposed regression models can predict UTCI with R2=0.78 and R2=0.80, indicating the semantic segmentation can support the calculation of outdoor comfort.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,multivariate linear regression model; semantic segmentation; universal thermal climate index (UTCI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gulinyazicioglu@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (8,852,025 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
