,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,ecaade2013_261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Paterson, Greig; Hong, Sung Min; Mumovic, Dejan and Kimpian, Judit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Real-time Environmental Feedback at the Early Design Stages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Stouffs, Rudi and Sariyildiz, Sevil (eds.), Computation and Performance  Proceedings of the 31st eCAADe Conference  Volume 2, Faculty of Architecture, Delft University of Technology, Delft, The Netherlands, 18-20 September 2013, pp. 79-86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"It has been argued that traditional building simulation methods can be a slow process, which often fails to integrate into the decision making process of non-technical designers, such as architects, at the early design stages. Furthermore, studies have shown that predicted energy consumption of buildings during design is often lower than monitored energy consumption during operation.In view of this, this paper outlines research to create a user friendly design tool that predicts energy consumption in real-time as early design and briefing parameters are altered interactively. As a test case, the research focuses on school design in England. Artificial neural networks (ANNs) were trained to predict the energy consumption of school designs by linking actual heating and electrical energy consumption data from the existing building stock to a range of design and briefing parameters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WOS:000340643600007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Environmental design tool; energy prediction; artificial neural networks; building operational performance; schools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,greig.paterson.10@ucl.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"file.pdf (801,948 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
