,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,acadia12_87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Menicovich, David ; Gallardo, Daniele ; Bevilaqua, Riccardo ; Vollen, Jason",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Generation and Integration of an Aerodynamic Performance Data Base Within the Concept Design Phase of Tall Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"ACADIA 12: Synthetic Digital Ecologies [Proceedings of the 32nd Annual Conference of the Association for Computer Aided Design in Architecture (ACADIA) ISBN 978-1-62407-267-3] San Francisco 18-21 October, 2012), pp. 87-96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Despite the fact that tall buildings are the most wind affected architectural typology, testing for aerodynamic performance is conducted during the later design phases well after the overall geometry has been developed. In this context, aerodynamic performance studies are limited to evaluating an existing design rather than a systematic performance study of design options driving form generation. Beyond constrains of time and cost of wind tunnel testing, which is still more reliable than Computational Fluid Dynamics (CFD) simulations for wind conditions around buildings, aerodynamic performance criteria lack an immediate interface with parametric design tools. This study details a framework for empirical data collection through wind tunnel testing of building mechatronic models and the expansion of the collected dataset by determining a mathematical interpolating model using an Artificial Neural Network (ANN) algorithm developing an Aerodynamic Performance Data Base (APDB). Frederick Keisler called the interacting of forces CO-REALITY, which he defined as The Science of Relationships. In the same article Keisler proclaims that the Form Follows Function is an outmoded understanding that design must demonstrate continuous variability in response to interactions of competing forces. This topographic space is both constant and fleeting where form is developed through the broadcasting of conflict and divergence as a system seeks balance and where one state of matter is passing by another; a decidedly fluid system. However, in spite of the fact that most of our environment consists of fluids or fluid reactions, instantaneous and geologic, natural and engineered, we have restricted ourselves to approaching the design of buildings and their interactions with the environment through solids, their properties and geometry; flow is considered well after the concept design stage and as validation of form. The research described herein explores alternative relations between the object and the flows around it as an iterative process, moving away from the traditional approach of Form Follows Function to Form Follows Flow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Tall Buildings , Mechatronics , Artificial Neural Network , Aerodynamic Performance Data Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ACADIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,normal paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,david.menicovich@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
