,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,ecaade2018_315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Koehler, Daniel, Abo Saleh, Sheghaf, Li, Hua, Ye, Chuwei, Zhou, Yaonaijia and Navasaityte, Rasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mereologies - Combinatorial Design and the Description of Urban Form.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Kepczynska-Walczak, A, Bialkowski, S (eds.), Computing for a better tomorrow - Proceedings of the 36th eCAADe Conference - Volume 2, Lodz University of Technology, Lodz, Poland, 19-21 September 2018, pp. 85-94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"This paper discusses the ability to apply machine learning to the combinatorial design-assembly at the scale of a building to urban form. Connecting the historical lines of discrete automata in computer science and formal studies in architecture this research contributes to the field of additive material assemblies, aggregative architecture and their possible upscaling to urban design. The following case studies are a preparation to apply deep-learning on the computational descriptions of urban form. Departing from the game Go as a testbed for the development of deep-learning applications, an equivalent platform can be designed for architectural assembly. By this, the form of a building is defined via the overlap between separate building parts. Building on part-relations, this research uses mereology as a term for a set of recursive assembly strategies, integrated into the design aspects of the building parts. The models developed by research by design are formally described and tested under a digital simulation environment. The shown case study shows the process of how to transform geometrical elements to architectural parts based merely on their compositional aspects either in horizontal or three-dimensional arrangements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Urban Form; Discrete Automata ; Combinatorics; Part-Relations; Mereology; Aggregative Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,d.koehler@ucl.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (8,945,792 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
