,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,ecaade2018_298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Rossi, Gabriella and Nicholas, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Modelling A Complex Fabrication System - New design tools for doubly curved metal surfaces fabricated using the English Wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Kepczynska-Walczak, A, Bialkowski, S (eds.), Computing for a better tomorrow - Proceedings of the 36th eCAADe Conference - Volume 1, Lodz University of Technology, Lodz, Poland, 19-21 September 2018, pp. 811-820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Standard industrialization and numeration models fail to translate the richness and complexity of traditional crafts into the making of the architectural elements, which excludes them from the industry. This paper introduces a new way of modelling a complex craft fabrication method, namely the English Wheel, that is based on the creation of a cyber-physical system. The cyber-physical system connects a robotic arm and an artificial neural network. The robot arm controls the movement of a metal sheet through the English wheel to achieve desired geometries according to toolpaths and predicted deformations specified by the neural network. The method is demonstrated through the making of 1:1 design probes of doubly curved metal surfaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Digital craft; metal forming; doubly curved surfaces; robotic fabrication; neural networks; cyber-physical system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gr@gabriellarossi.tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (27,862,440 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
