,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,ecaade2021_035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Newton, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Visualizing Deep Learning Models for Urban Health Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Stojakovic, V and Tepavcevic, B (eds.), Towards a new, configurable architecture - Proceedings of the 39th eCAADe Conference - Volume 1, University of Novi Sad, Novi Sad, Serbia, 8-10 September 2021, pp. 527-536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"As humanity has become increasingly urbanized, physical and mental health problems have increased significantly among urban populations with a combined cost of treating these diseases estimated to be in the trillions of dollars. In parallel to these developments, a growing body of research suggests that the design of the built environment has significant correlations with both physical and mental health outcomes. This research, however, has been limited in its ability to make use of large remote sensing datasets to identify specific design features at the neighborhood scale that correlate with health outcomes. The development of methods that can efficiently find such correlations from ubiquitous remote sensing datasets, such as satellite images, would therefore allow researchers a greater level of insight into how specific urban planning and design features might relate to health. This research contributes knowledge on a novel mixed method workflow to address this issue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Deep Learning; Urban Planning; Health; Artificial Intelligence; Remote Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,david.newton@unl.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (15,137,158 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
