,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,caadria2021_161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Zhao, Xin, Han, Yunsong and Shen, Linhai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Multi-objective Optimisation of a Free-form Building Shape to improve the Solar Energy Utilisation Potential using Artificial Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"A. Globa, J. van Ameijde, A. Fingrut, N. Kim, T.T.S. Lo (eds.), PROJECTIONS - Proceedings of the 26th CAADRIA Conference - Volume 1, The Chinese University of Hong Kong and Online, Hong Kong, 29 March - 1 April 2021, pp. 221-230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Optimisation of free-form building design is more challenging in terms of building information modelling and performance evaluation compared to conventional buildings. The paper provides a Photogrammetry-based BIM Modelling - Machine Learning Modelling - Multi-objective Optimisation framework to improve the solar energy utilisation potential of free-form buildings. Low altitude photogrammetry is used to collect the building and site environmental information. An ANN prediction model is developed using the control point coordinates and simulation data. Through parametric programming, the multi-objective algorithm is coupled with the ANN model to obtain the trade-off optimal building form. The results show that the maximum solar radiation value in winter can increase by 30.60% and the minimum solar radiation in summer can decrease by 13.99%. It is also shown that the integration of ANN modelling and photogrammetry-based BIM modelling into the multi-objective optimisation method can accelerate the optimisation process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Multi-objective optimisation; Artificial neural network; Free-form shape building ; Solar energy utilisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CAADRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,hanyunsong@hit.edu.cn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (10,328,925 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
