,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,cf2019_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Han, Zhen; Ning Cao, Gang Liu and Wei Yan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MOPSO for BIM: A Multi-Objective Optimization Tool Using Particle Swarm Optimization Algorithm on a BIMbased Visual Programming Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Ji-Hyun Lee (Eds.) ""Hello, Culture!""  [18th International Conference, CAAD Futures 2019, Proceedings / ISBN 978-89-89453-05-5] Daejeon, Korea, pp. 39-51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"With the increasing applications of computational methods in the field of design optimization, intelligent metaheuristic algorithms are playing a more important role in building performance optimization. To enable the integration of optimization algorithms with Building Information Modeling (BIM), this research implemented the Particle Swarm Optimization (PSO) algorithm on Revit + Dynamo, which is a parametric BIM platform. A MultiObjective PSO (MOPSO) Solver has been developed in Dynamo using MATLAB and C# programming languages. The methodology of the research and the validation studies are presented in the paper. The validation studies prove the effectiveness of the MOPSO Solver for both standard optimization test functions and an optimization example of a simplified building design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Particle Swarm Optimization, BIM, multi-objective optimization, visual programming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CAAD Futures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,dkhertz@163.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (956,268 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
